epoch,train loss,train acc,val loss,val acc
0,0.7532396720260637,73.67333221435547,0.632331350674996,78.30000305175781
1,0.6027019929427367,78.87999725341797,0.6386001304938242,78.0
2,0.5634569295196452,80.27666473388672,0.6182640615182046,78.36000061035156
3,0.5365817456418632,81.38666534423828,0.565597993059036,80.8499984741211
4,0.5209946650215703,81.59666442871094,0.5688287722758758,80.56999969482422
5,0.5075410488579009,81.97333526611328,0.6317040840020547,79.22000122070312
6,0.4956847146535531,82.80333709716797,0.5489652638251965,81.63999938964844
7,0.48575439998227304,83.29666900634766,0.5296370761516767,82.20999908447266
8,0.48108815357216406,82.98666381835938,0.5328529691084837,81.7699966430664
9,0.46111290513450265,84.12666320800781,0.5454657184772003,81.33000183105469
10,0.465341119430004,83.78666687011719,0.5428154124663427,81.9800033569336
11,0.45382267918087477,84.01000213623047,0.5264407984721355,82.58000183105469
12,0.44592396622030145,84.62999725341797,0.5622994166154128,80.38999938964844
13,0.4520095954848151,84.21333312988281,0.5445447862148285,82.05000305175781
14,0.44348419604138434,84.5999984741211,0.5260355510772803,82.22000122070312
