epoch,train loss,train acc,val loss,val acc
0,0.6976114839315415,75.5479965209961,0.5768361798463724,80.41999816894531
1,0.5718338602628463,79.80000305175781,0.6189493109018375,79.16000366210938
2,0.5382921542876806,80.96600341796875,0.5331179419389138,81.63999938964844
3,0.5125046562690001,82.02799987792969,0.6027030001084009,79.12999725341797
4,0.4976106636035137,82.64800262451172,0.5094179427012419,82.73999786376953
5,0.4862800731872901,83.02999877929688,0.504444807003706,83.12999725341797
6,0.47963797923846124,83.35800170898438,0.4979016486650858,83.0999984741211
7,0.4645864038895338,83.71199798583984,0.47742115839933735,83.69000244140625
8,0.4594189138748707,84.10399627685547,0.49141076589242005,83.36000061035156
9,0.4556596590922429,84.00599670410156,0.4759048937987059,83.80999755859375
10,0.449260789843706,84.4000015258789,0.4846902451454065,83.70999908447266
11,0.44318305857670615,84.63600158691406,0.4887169809677662,83.29000091552734
12,0.43997792250070816,84.5999984741211,0.484133406327321,83.4800033569336
13,0.43867363562950723,84.83599853515625,0.5089768725327957,82.73999786376953
14,0.4349647920865279,84.90399932861328,0.48755782269514525,83.66999816894531
