epoch,train loss,train acc,val loss,val acc
0,2.8958370685577393,22.600000381469727,1.8775699520722413,30.610000610351562
1,2.1516844034194946,44.20000076293945,1.3186080043132489,54.099998474121094
2,1.4067923029263814,67.19999694824219,1.029020524941958,63.65999984741211
3,1.1105859875679016,73.80000305175781,0.9064860321008242,68.16999816894531
4,0.8831041057904562,78.80000305175781,0.8599468171596527,69.77999877929688
5,0.82525102297465,80.19999694824219,0.8660608415420239,69.55000305175781
6,0.7378997306029002,81.4000015258789,0.8648776213328043,69.44000244140625
7,0.6985166668891907,83.5999984741211,0.8586963239388589,69.66000366210938
8,0.6224579215049744,83.80000305175781,0.8506624698638916,70.19000244140625
9,0.6083201964696249,84.0,0.8643351678664868,69.7699966430664
10,0.5355280141035715,87.80000305175781,0.8700850766438705,69.61000061035156
11,0.532781571149826,87.19999694824219,0.892836461464564,69.5
12,0.5094286302725474,88.4000015258789,0.8844271753078852,69.83000183105469
13,0.4476870795090993,89.5999984741211,0.8891867735447028,69.47000122070312
14,0.48252347111701965,89.0,0.8803696968616583,69.62000274658203
